VARIABLES = S,Fx,Fy,Mz
 ZONE, T="  0.1000E+01"
      0.500000D+00      0.224291D-15      0.100000D-01     -0.950000D-01
      0.150000D+01      0.228862D-15      0.100000D-01     -0.850000D-01
      0.250000D+01      0.210437D-15      0.100000D-01     -0.750000D-01
      0.350000D+01      0.170789D-15      0.100000D-01     -0.650000D-01
      0.450000D+01      0.102250D-15      0.100000D-01     -0.550000D-01
      0.550000D+01      0.295127D-15      0.100000D-01     -0.450000D-01
      0.650000D+01      0.141288D-15      0.100000D-01     -0.350000D-01
      0.750000D+01      0.228360D-17      0.100000D-01     -0.250000D-01
      0.850000D+01      0.680998D-16      0.100000D-01     -0.150000D-01
      0.950000D+01     -0.157770D-16      0.100000D-01     -0.500000D-02
